2026-01-15 20:19:23,864 - INFO - ==================================================
2026-01-15 20:19:23,866 - INFO - 일일 VCP 스캔 시작: 2026-01-15 20:19:23
2026-01-15 20:19:23,866 - INFO - ==================================================
2026-01-15 20:19:23,866 - INFO - 전체 KRX 종목 스캔 시작...
2026-01-15 20:19:23,866 - INFO - 🚀 Starting Real-Time Scan [Mode: vcp_flow]...
2026-01-15 20:19:25,604 - ERROR - Error for 0126Z0: 404 Client Error: Not Found for url: https://query2.finance.yahoo.com/v8/finance/chart/0126Z0?period1=1760699965&period2=1768475965&interval=1d&includeAdjustedClose=true
2026-01-15 20:19:27,139 - ERROR - Error for 004170: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,276 - ERROR - Error for 383220: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,298 - ERROR - Error for 097230: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,325 - ERROR - Error for 139480: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,395 - ERROR - Error for 086520: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,396 - ERROR - Error for 247540: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,437 - ERROR - Error for 277810: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,438 - ERROR - Error for 141080: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,474 - ERROR - Error for 087010: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,475 - ERROR - Error for 950160: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,594 - ERROR - Error for 058470: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,596 - ERROR - Error for 347850: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,707 - ERROR - Error for 214370: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,712 - ERROR - Error for 068760: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,713 - ERROR - Error for 403870: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,715 - ERROR - Error for 475830: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,716 - ERROR - Error for 237690: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,716 - ERROR - Error for 108490: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,716 - ERROR - Error for 145020: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,717 - ERROR - Error for 226950: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,718 - ERROR - Error for 030530: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,718 - ERROR - Error for 214150: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,721 - ERROR - Error for 476830: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,721 - ERROR - Error for 140410: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,722 - ERROR - Error for 240810: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,833 - ERROR - Error for 041510: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,893 - ERROR - Error for 0009K0: 404 Client Error: Not Found for url: https://query2.finance.yahoo.com/v8/finance/chart/0009K0?period1=1760699967&period2=1768475967&interval=1d&includeAdjustedClose=true
2026-01-15 20:19:27,895 - ERROR - Error for 257720: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,901 - ERROR - Error for 035900: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,906 - ERROR - Error for 319400: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,923 - ERROR - Error for 095340: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:27,949 - ERROR - Error for 263750: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,000 - ERROR - Error for 357780: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,001 - ERROR - Error for 005290: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,016 - ERROR - Error for 445680: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,018 - ERROR - Error for 084370: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,019 - ERROR - Error for 437730: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,019 - ERROR - Error for 067310: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,028 - ERROR - Error for 058610: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,034 - ERROR - Error for 064760: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,034 - ERROR - Error for 039200: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,121 - ERROR - Error for 083650: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,139 - ERROR - Error for 089030: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,140 - ERROR - Error for 098460: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,192 - ERROR - Error for 160190: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,200 - ERROR - Error for 222800: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,212 - ERROR - Error for 140860: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,216 - ERROR - Error for 036930: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,234 - ERROR - Error for 290650: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,236 - ERROR - Error for 060370: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,302 - ERROR - Error for 195940: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2026-01-15 20:19:28,368 - ERROR - Error for 065350: ('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
