ticker,current_price,entry_price,score,contraction_ratio,foreign_5d,inst_5d,signal_date,name,market,sector,theme,strategy_mode,stop_loss,tp1,tp2,time_stop,min_turnover,close,foreign_net_buy_5d,inst_net_buy_5d,supply_demand_score,ai_action_gpt,ai_conf_gpt,ai_action_gemini,ai_conf_gemini
032830,161900.0,161900.0,84,0.74,1194538739,1592718319,2026-01-14,삼성생명,KOSPI,Unknown,,vcp_flow,150500,186500,210500,2026-01-29,38538133635.0,161900.0,1194538739,1592718319,84,,0,,0
055550,79900.0,79900.0,87,0.55,2345367181,3127156242,2026-01-14,신한지주,KOSPI,Unknown,,vcp_flow,74300,91900,104000,2026-01-29,77797311650.0,79900.0,2345367181,3127156242,87,,0,,0
015760,53600.0,53600.0,83,0.82,5173577720,6898103627,2026-01-14,한국전력,KOSPI,Unknown,,vcp_flow,49850,61600,69700,2026-01-29,171751267920.0,53600.0,5173577720,6898103627,83,,0,,0
105560,128900.0,128900.0,89,0.41,2852814903,3803753204,2026-01-14,KB금융,KOSPI,Unknown,,vcp_flow,120000,148500,167500,2026-01-29,89257894205.0,128900.0,2852814903,3803753204,89,,0,,0
086790,96100.0,96100.0,91,0.31,1625951687,2167935583,2026-01-14,하나금융지주,KOSPI,Unknown,,vcp_flow,89400,110500,125000,2026-01-29,53000750065.0,96100.0,1625951687,2167935583,91,,0,,0
035720,58800.0,58800.0,83,0.84,3869848452,5159797937,2026-01-14,카카오,KOSPI,Unknown,,vcp_flow,54700,67600,76400,2026-01-29,133139499360.00002,58800.0,3869848452,5159797937,83,,0,,0
267260,922000.0,922000.0,94,0.73,3888156242,5184208323,2026-01-14,HD현대일렉트릭,KOSPI,Unknown,AI전력,vcp_flow,857000,1060000,1199000,2026-01-29,134434561099.99998,922000.0,3888156242,5184208323,94,,0,,0
009540,427500.0,427500.0,94,0.79,2637549486,3516732648,2026-01-14,HD한국조선해양,KOSPI,Unknown,조선,vcp_flow,397500,491500,556000,2026-01-29,92505763125.0,427500.0,2637549486,3516732648,94,,0,,0
064350,223000.0,223000.0,95,0.69,4424288066,5899050755,2026-01-14,현대로템,KOSPI,Unknown,방산,vcp_flow,207500,256500,290000,2026-01-29,137326265550.0,223000.0,4424288066,5899050755,95,,0,,0
316140,28050.0,28050.0,89,0.42,1214366731,1619155641,2026-01-14,우리금융지주,KOSPI,Unknown,,vcp_flow,26100,32250,36450,2026-01-29,37749444562.5,28050.0,1214366731,1619155641,89,,0,,0
298040,2125000.0,2125000.0,96,0.63,3878960550,5171947400,2026-01-14,효성중공업,KOSPI,Unknown,AI전력,vcp_flow,1976000,2444000,2762000,2026-01-29,128137287500.0,2125000.0,3878960550,5171947400,96,,0,,0
011200,20750.0,20750.0,84,0.76,821932740,1095910320,2026-01-14,HMM,KOSPI,Unknown,,vcp_flow,19300,23850,27000,2026-01-29,27741483212.5,20750.0,821932740,1095910320,84,,0,,0
033780,144300.0,144300.0,84,0.78,1125655844,1500874458,2026-01-14,KT&G,KOSPI,Unknown,,vcp_flow,134500,166000,188000,2026-01-29,36985258830.0,144300.0,1125655844,1500874458,84,,0,,0
024110,20700.0,20700.0,87,0.54,562125374,749500499,2026-01-14,기업은행,KOSPI,Unknown,,vcp_flow,19250,23800,26900,2026-01-29,18256788315.0,20700.0,562125374,749500499,87,,0,,0
009150,284500.0,284500.0,86,0.66,4910615664,6547487552,2026-01-14,삼성전기,KOSPI,Unknown,,vcp_flow,264500,327000,370000,2026-01-29,161929732725.0,284500.0,4910615664,6547487552,86,,0,,0
066570,92500.0,92500.0,85,0.69,2096372973,2795163964,2026-01-14,LG전자,KOSPI,Unknown,,vcp_flow,86000,106500,120000,2026-01-29,71865215625.0,92500.0,2096372973,2795163964,85,,0,,0
